2023-02-12 10:54:02 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2023-02-12 19:46:06 |INFO  |http-nio-8120-exec-2 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-17 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-13 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-12 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-14 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-19 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-11 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-18 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-20 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-15 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:07 |INFO  |http-nio-8120-exec-16 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-27 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-22 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-28 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-26 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
